state,sex,date,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate,ep_ratio
Johor,both,1/1/2023,2071.3,2017.9,53.4,833.6,71.3,2.6,69.5
Kedah,both,1/1/2023,955.1,927.5,27.6,508.5,65.3,2.9,63.5
Kelantan,both,1/1/2023,685.3,661.1,24.3,510.0,57.3,3.5,55.3
Melaka,both,1/1/2023,508.1,499.8,8.4,217.1,70.1,1.6,69.0
Negeri Sembilan,both,1/1/2023,553.9,536.1,17.7,283.5,66.1,3.2,64.1
Pahang,both,1/1/2023,735.7,720.9,14.8,393.6,65.1,2.0,63.9
Perak,both,1/1/2023,1148.8,1104.2,44.5,592.7,66.0,3.9,63.5
Perlis,both,1/1/2023,130.6,124.9,5.7,81.2,61.7,4.4,58.9
Pulau Pinang,both,1/1/2023,926.2,905.6,20.5,373.1,71.3,2.2,69.7
Sabah,both,1/1/2023,1754.0,1622.2,131.8,747.7,70.1,7.5,64.8
Sarawak,both,1/1/2023,1234.6,1192.5,42.1,555.2,69.0,3.4,67.0
Selangor,both,1/1/2023,3967.6,3858.9,108.7,1156.8,77.4,2.7,75.4
Terengganu,both,1/1/2023,478.7,462.4,16.4,319.7,60.0,3.4,57.9
Kuala Lumpur,both,1/1/2023,1111.7,1077.9,33.9,387.2,74.2,3.0,71.6
Labuan,both,1/1/2023,46.5,43.4,3.1,22.0,67.9,6.8,63.8
Putrajaya,both,1/1/2023,58.6,58.1,0.5,15.9,78.6,0.8,78.7
